"Date";"Order ID";"Transaction ID";"Payout report ID";"Payout number";"Position";"Currency";"Payout amount";"Open receivable";"Commission type";"Commission paid to";"Payout on";"Purchase vendor";"Purchase affiliate";"Product ID";"Product name";"Reason";"Voucher";"Sales team";"Commission allocated to";"Purchase created by";"Reseller";
"05/03/2026";"QSJC5YV7";"116201334";"";"";"";"USD";"3.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"UNYXGROUP";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"7Z5YLDAC1";"116201153";"";"";"";"USD";"13.10";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"UCZNWQXR";"116201122";"";"";"";"USD";"1.89";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"7Z5YLDAC";"116200991";"";"";"";"USD";"2.85";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"47NM4E5M";"116200860";"";"";"";"USD";"1.78";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"SRF3UDSM";"116200455";"";"";"";"USD";"1.23";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmkt9";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"PJ43UV571";"116200293";"";"";"";"USD";"13.07";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"XLFKXMXM";"116200252";"";"";"";"USD";"2.74";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"marckkks";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"M62MSUCX2";"116200021";"";"";"";"USD";"5.93";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667692";"UP2 - Glyco Pulse (3 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"M62MSUCX1";"116199904";"";"";"";"USD";"21.28";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667691";"UP1 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"V96AJRPK";"116199845";"";"";"";"USD";"1.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"M62MSUCX";"116199442";"";"";"";"USD";"2.77";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"RM243T59";"116199324";"";"";"";"USD";"2.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"adsmastery";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"JHQ2Y3ZZ";"116199190";"";"";"";"USD";"4.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"lcxecom";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/02/2026";"TS5K3TH9";"116199000";"";"";"";"USD";"4.81";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"ajumpclick";"667690";"M3 - Glyco Pulse (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
